Iteration	Posterior	Likelihood	Prior	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	tree_length
0	-79.61071	0	-79.61071	3.403198	0.026855	1.38595	0.132219	0.142804	0.0245201	0.250936	0.204862	0.686956	0.069202	0.144391	0.324079	0.00489054	0.304946	0.764725	0.0353037	0.549234	0.106161	0.612747	1.11229	0.00314895	0.139319	0.32398	0.490906	0.474095	0.216177	0.132451	0.100012	0.161466	0.319213	0.0358292	0.144569	0.0301635	0.304214	0.19653	0.609014	0.862811	0.087751	0.112	0.139814	0.243875	0.299381	0.211062	0.209702	0.223133	0.33508	0.385197	0.0961939	0.685476	0.282255	1.26732	0.175379	0.0100577	0.017096	0.127097	0.566934	0.503283	0.215325	0.0467551	0.51832	0.0304566	0.275599	18.49152
10	-79.78776	0	-79.78776	2.589041	0.0227803	0.327938	0.240176	0.149502	0.0598707	0.160183	0.291375	0.17156	0.0502587	0.294791	0.689169	0.00498543	0.505337	0.407461	0.0501531	1.45089	0.0396692	0.186993	0.328867	0.00887797	0.197627	0.204792	0.39099	0.417813	0.132235	0.255938	0.206942	0.159639	0.401938	0.336122	0.130755	0.0742787	0.10533	0.491122	0.446895	0.22995	0.147601	0.327779	0.179464	0.337425	0.107888	0.57825	0.22897	0.400279	0.20485	0.179252	0.250301	0.557412	0.482397	0.871526	0.183643	0.00957445	0.0090871	0.0841121	1.28794	0.276555	0.211745	0.0795478	0.395396	0.091327	0.889969	17.9955
20	-79.50336	0	-79.50336	3.645514	0.0304745	0.655084	0.191566	0.0523262	0.0580252	0.494819	0.163878	0.447942	0.119204	0.294653	0.265337	0.00236813	0.16364	0.268142	0.182666	0.672458	0.0677362	0.0721423	0.617785	0.0252775	0.0702364	0.0765624	0.122099	0.658295	0.409952	0.864515	0.18054	0.227785	0.390636	0.596775	0.151777	0.0429117	0.332295	0.233519	0.150531	0.188875	0.338157	0.459498	0.234483	0.746206	0.0630467	0.732113	0.0708554	0.288763	0.362589	0.240318	0.2632	0.91615	0.231529	0.251997	0.199117	0.0281658	0.00266558	0.518775	1.02069	1.1059	0.118218	0.22615	0.146129	0.0307955	0.232242	18.37057
30	-87.89586	0	-87.89586	2.473553	0.109833	0.445366	0.314788	0.023218	0.612255	0.23549	1.0019	0.0349879	0.542215	0.323359	0.484474	0.00693378	0.334055	0.485091	0.481816	0.471215	0.113913	0.387051	0.63822	0.0188185	0.0634809	0.291733	0.0459703	1.12748	0.581613	1.0072	0.0265197	0.261476	0.19367	0.439178	0.268203	0.0256875	0.230126	0.195233	0.274173	0.258644	0.239945	0.965705	0.229035	0.217635	0.0640178	0.360105	0.0672861	0.242045	0.180011	0.20946	0.832225	1.30648	0.0709006	0.1334	0.43568	0.0839563	0.0035182	0.144574	0.724921	0.368993	0.101458	0.541912	0.589533	0.147938	0.381491	20.99762
40	-81.50446	0	-81.50446	3.413758	0.163745	0.085437	0.0553962	0.0179719	0.166719	0.166119	0.455509	0.0186187	1.19218	0.0905118	0.944726	0.00262573	0.358365	0.487812	0.352332	0.293238	0.100762	0.532854	0.604487	0.0208863	0.236323	0.096741	0.0996953	0.470572	0.286456	0.827873	0.0242813	0.395358	0.216594	0.576769	0.105236	0.0429987	0.49952	0.272204	0.36252	0.0772345	0.224439	0.639829	0.160496	0.304653	0.361949	0.265139	0.244208	0.244519	0.457564	0.242055	1.0626	0.116288	0.551871	0.219282	0.175668	0.0260258	0.00133188	0.324371	0.0927396	0.292481	0.309679	0.437979	0.445638	0.0824464	1.05987	19.0438
50	-86.45975	0	-86.45975	2.525477	1.00619	0.0962914	0.010888	0.100353	0.169528	0.47114	0.880853	0.0688446	0.573678	0.115163	0.7077	0.00585904	0.258782	0.400714	0.290759	0.263152	0.0642862	0.186371	0.447232	0.0211327	0.62477	0.150881	0.0592013	0.236173	0.324685	0.150017	0.0647002	0.264526	0.407591	0.186672	0.387639	0.0206296	1.19476	0.462773	0.286235	0.151415	0.0972914	0.708184	0.241894	0.289576	0.332568	0.990394	0.089246	0.0695014	0.259477	0.18032	1.23436	0.198234	0.732982	0.450064	0.105279	0.0165354	0.00996037	0.217091	0.220913	1.00762	0.133231	0.21208	0.645639	0.157667	0.783227	20.49492
60	-87.86684	0	-87.86684	2.971574	1.21365	0.0572671	0.0118929	0.190387	0.261109	0.433667	0.504901	0.12093	0.525854	0.255215	0.513204	0.00635399	0.197715	0.183525	0.270215	0.312878	0.277093	0.383962	0.080424	0.0377466	0.205316	0.0892434	0.0863831	0.171567	0.161318	0.268531	0.463269	0.244046	0.119846	0.365023	0.856843	0.0448152	1.73533	0.820001	0.538684	0.071758	0.0853052	0.600782	0.15143	0.520984	0.336535	0.615368	0.0364162	0.0798748	0.134153	0.275528	1.43487	0.154442	0.475699	0.116465	1.04037	0.0179956	0.00918553	0.160024	0.295187	0.344771	0.0868064	0.358144	0.811851	0.158266	0.820366	21.20079
70	-74.43029	0	-74.43029	3.690182	0.231971	0.0199964	0.0422221	0.265258	0.214867	0.458548	0.431045	0.0746056	0.287551	0.130778	0.28562	0.00415745	0.0318201	0.188097	0.690767	0.155019	0.256751	0.69193	0.101153	0.0405744	0.249035	0.045168	0.0689063	0.57739	0.0517396	0.422944	0.366042	0.130805	0.0510387	0.12986	0.823706	0.0408749	0.749553	0.415709	0.28063	0.0287637	0.0547196	0.16264	0.0928071	0.37357	0.19795	0.162005	0.0651106	0.0985011	0.0654117	0.534144	0.751079	0.123335	0.815021	0.193261	1.4766	0.0599703	0.0648431	0.195784	0.210206	0.128847	0.520053	0.117036	0.633058	0.259046	0.582457	16.97235
80	-62.79447	0	-62.79447	6.106316	0.175872	0.0352119	0.0310543	0.1275	0.204767	0.999293	0.236611	0.046225	0.458162	0.232869	0.266381	0.0205109	0.0682145	0.232969	0.434936	0.0219196	0.187024	0.0833117	0.0874399	0.0672913	0.349401	0.0179422	0.0713904	0.0880783	0.0530572	0.409045	0.358616	0.397961	0.127424	0.300098	0.208504	0.0340492	0.127145	0.185377	0.186954	0.0807165	0.0857755	0.182893	0.025805	0.804122	0.11951	0.185566	0.105931	0.109058	0.0843954	0.637016	0.649741	0.0688879	0.439439	0.488941	0.138115	0.0367294	0.02837	0.172669	0.0802197	0.0903289	0.877793	0.161066	0.322955	0.301573	0.0931395	13.30336
90	-68.02667	0	-68.02667	3.0497	0.471749	0.0723036	0.0843028	0.120488	0.0631769	1.02718	0.227052	0.0788543	0.58014	0.290491	0.121848	0.00957089	0.0678261	0.343502	1.28028	0.0473361	0.110597	0.0734533	0.253331	0.0320865	0.158502	0.0186122	0.251087	0.0816191	0.087832	0.576181	0.265718	0.2432	0.128529	0.292436	0.186486	0.058167	0.447019	0.101819	0.103827	0.096534	0.12163	0.25718	0.0288009	0.207612	0.298251	0.222894	0.1627	0.139179	0.0195963	0.177538	0.624415	0.516707	0.0981054	0.332573	0.0599595	0.0645919	0.0554744	0.109219	0.205799	0.0706331	1.29459	0.169688	0.316497	0.607615	0.0516267	14.66601
