Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-2686.068	-2479.863	-206.2051	36949.4	0.5057208	1.62149	1.10376	2.37598	2.02369	4.36552	0.705061	5.54342	1.98039	0.855031	0.620425	0.159695	2.02771	5.52618	6.0117	2.78536	0.828815	1.67397	0.302537	2.39361	0.287038	0.280048	5.86667	1.78615	2.92841	3.1278	7.28638	4.64166	0.878831	0.00564858	2.19781	2.62909	0.197647	1.48564	0.768409	1.5433	3.25633	2.49829	0.197961	0.39234	0.586269	1.18657	2.44288	0.387195	1.98468	2.19896	2.98373	2.60173	2.13508	0.536204	2.98516	0.354182	0.674857	1.07283	2.35008	0.137567	3.13978	0.688153	1.36471	1.1468	1.56122	0.950262	0.993395	0.998303	1.00168	1.00662	118.6287
10	-2444.296	-2257.982	-186.314	139560.2	0.7484685	2.2695	0.503632	1.93177	0.388805	0.900436	0.310911	3.56441	0.908859	1.11146	0.194764	0.0823477	1.9305	6.44957	0.351169	1.45882	0.192825	1.10562	0.368367	1.43724	0.124967	0.302652	6.02386	0.712147	1.94862	0.615692	2.99541	2.91116	0.0634979	0.0048214	0.225906	1.31944	0.277861	1.85008	0.363789	2.58591	3.54659	2.86711	0.671157	0.509098	0.484045	0.869681	1.97155	0.07986	0.557433	0.582586	2.85456	1.19773	0.994806	0.243971	2.63109	0.257559	0.620183	0.869149	3.91302	0.0517407	4.20026	0.143673	0.187055	3.90746	3.04605	0.421014	0.9966	0.999129	1.00087	1.0034	85.46525
20	-2202.225	-2039.364	-162.8605	142979.5	0.9186608	5.50576	0.231939	0.278084	0.157863	0.236318	0.0716359	2.07006	0.530904	0.450606	0.0950136	0.0760351	2.9633	5.42477	0.0739975	0.549002	0.150971	0.515122	0.374162	1.1471	0.0936461	0.176557	1.16167	0.624425	4.42803	0.216727	0.57471	2.18001	0.138898	0.00420309	0.136666	0.191263	0.147026	0.308685	0.240007	4.28126	1.06797	1.81888	0.924494	0.240215	0.470582	0.198603	1.55593	0.025594	0.308879	1.99193	2.12344	0.746379	0.350818	0.132493	0.487768	0.661908	4.0213	0.88567	1.09724	0.038959	1.05482	0.0650802	0.181866	0.490439	0.691878	0.229908	0.99664	0.999139	1.00086	1.00336	57.66948
30	-1918.751	-1799.316	-119.4347	458820.2	2.341232	2.7256	0.333978	0.0386272	0.19036	0.0756558	0.0403974	0.682017	0.0957156	0.0907971	0.0757138	0.21599	1.23305	2.68852	0.0216502	0.0548412	0.044496	0.0767409	0.0925883	0.146263	0.0681877	0.194133	1.16167	0.44975	1.73896	0.0703521	0.326517	0.944237	0.161505	0.0102985	0.135772	0.0771386	0.1135	0.140889	0.0458805	1.01909	0.90185	1.1992	0.660405	0.0631055	0.317513	0.212213	0.127662	0.042549	0.10928	0.633003	1.94292	0.267178	0.372158	0.0802747	0.361295	0.378617	1.33577	0.418743	1.17057	0.0284413	1.40149	0.0580728	0.0563331	0.175253	0.244061	0.194474	0.998124	0.99952	1.00048	1.00188	28.33332
40	-1677.565	-1589.66	-87.90571	988481.5	3.81213	0.153329	0.148662	0.0389388	0.116192	0.103173	0.0538932	0.164363	0.0316126	0.0497346	0.0614649	0.181355	1.36566	0.933666	0.0352222	0.0291801	0.0457645	0.114637	0.039285	0.0460292	0.0568903	0.127495	0.604866	0.137507	0.282222	0.0544102	0.132023	0.607019	0.0938481	0.00439539	0.076699	0.0350895	0.0529609	0.024185	0.0252405	2.08303	1.18584	0.552198	0.166891	0.0699034	0.10273	0.341324	0.103874	0.0818055	0.0164303	0.481241	0.290585	0.123287	0.150128	0.116627	0.127041	0.0808844	1.7708	0.314892	0.451533	0.0369331	1.74228	0.00962399	0.181781	0.0685292	0.0765882	0.100253	0.998722	0.999673	1.00033	1.00128	16.85405
50	-1496.953	-1451.514	-45.439	719010.8	6.287847	0.0541369	0.0156241	0.107836	0.0334873	0.0549624	0.0881284	0.114782	0.0514063	0.0717803	0.029955	0.220123	0.614234	0.264294	0.0701711	0.0668884	0.0757407	0.152699	0.0837438	0.0226377	0.02718	0.159775	0.148681	0.0825065	0.125337	0.0554755	0.0271425	0.413544	0.0395945	0.00511003	0.0813014	0.0620843	0.0982821	0.0353696	0.0395985	1.19181	0.62536	0.147826	0.0999302	0.0318219	0.0745371	0.153956	0.0437824	0.199736	0.0079591	0.243154	0.166001	0.130595	0.0493975	0.117974	0.0511972	0.0804264	0.309512	0.153096	0.239836	0.0421556	0.116689	0.0203303	0.154387	0.0608989	0.0462539	0.0881413	0.998501	0.999617	1.00038	1.0015	8.240378
60	-1420.441	-1394.376	-26.06548	882007.1	8.7375	0.0214223	0.0124729	0.0988622	0.0257581	0.0107299	0.0439111	0.059805	0.0662859	0.0490798	0.0121779	0.0420938	0.418359	0.0685646	0.0204304	0.0930106	0.0801656	0.210837	0.121424	0.0169552	0.0409157	0.091896	0.0161036	0.0563678	0.0403915	0.130411	0.0204993	0.140347	0.0753955	0.0169384	0.0196816	0.0414917	0.116522	0.058446	0.0289761	0.810706	0.198769	0.142248	0.160625	0.0351866	0.0335334	0.109795	0.0247585	0.130386	0.00952047	0.159881	0.0727325	0.143316	0.017403	0.0801462	0.0561614	0.133569	0.408178	0.111536	0.0979314	0.067292	0.0853522	0.0198857	0.174168	0.116703	0.0482004	0.13895	0.998647	0.999654	1.00035	1.00135	5.953662
70	-1394.417	-1366.155	-28.26283	967228.2	8.287199	0.0173977	0.0210754	0.0784289	0.0234786	0.00813173	0.0401721	0.102546	0.0897462	0.0499372	0.0331413	0.0449643	0.2132	0.0512858	0.00366438	0.105433	0.106039	0.0389074	0.120896	0.0179554	0.0755777	0.0520206	0.0908746	0.0444969	0.198752	0.136266	0.0458048	0.0420992	0.0361679	0.0444555	0.016218	0.0440435	0.0924089	0.109536	0.014761	1.23065	0.169897	0.127908	0.15576	0.0385832	0.0882614	0.102658	0.0112524	0.159806	0.0115699	0.144191	0.0668883	0.165023	0.0134248	0.075848	0.0655118	0.142127	0.283382	0.147087	0.114941	0.0679757	0.0606099	0.0428072	0.150659	0.20086	0.0226866	0.0934552	0.998708	0.99967	1.00033	1.00129	6.16371
80	-1399.728	-1374.048	-25.67959	93714.28	10.55412	0.0318378	0.0257759	0.0901238	0.0266231	0.0159683	0.0356556	0.159226	0.103306	0.087257	0.0468024	0.0131267	0.0889971	0.0286041	0.0157198	0.0383974	0.172912	0.0714104	0.0508786	0.0111454	0.0524017	0.0459987	0.0813047	0.109716	0.108846	0.179283	0.0406049	0.0547705	0.0215589	0.0827132	0.018356	0.0374976	0.0841921	0.0580021	0.0163377	0.819803	0.164886	0.0985169	0.130243	0.021276	0.0606085	0.18485	0.0049812	0.187982	0.00455833	0.307084	0.0665221	0.131436	0.0136761	0.0804125	0.0147302	0.0996242	0.389921	0.198709	0.151665	0.262488	0.0329942	0.0867222	0.0906527	0.144776	0.0147756	0.0804056	0.995851	0.998936	1.00106	1.00416	5.949651
90	-1384.434	-1362.747	-21.6868	77798.03	11.65496	0.0149532	0.0264009	0.0935472	0.0215946	0.0482655	0.00769594	0.0457743	0.0542144	0.0244892	0.0436258	0.0206585	0.112048	0.0156006	0.0250812	0.0456052	0.0768532	0.0531098	0.0425211	0.0670885	0.0129007	0.0582085	0.15561	0.0944194	0.129414	0.201358	0.0819924	0.0227154	0.0354781	0.0275144	0.027203	0.0754443	0.0675067	0.0287123	0.0100996	0.935098	0.126314	0.0910267	0.340645	0.0263309	0.0949162	0.143352	0.00754048	0.0860286	0.0095431	0.144893	0.0747642	0.148438	0.013103	0.114529	0.0362952	0.0568755	0.241058	0.196379	0.19872	0.175366	0.0185995	0.0543031	0.0424742	0.107399	0.0209282	0.172871	0.995446	0.998832	1.00116	1.00456	5.545495
