Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-891.655	-871.7322	-19.92288	185011.1	10.68867	0.278726	0.0529707	0.00709956	0.0214298	0.149387	0.0426542	0.0667085	0.165274	0.0413978	0.0516357	0.0111003	0.0152219	0.00808094	0.00089749	0.0380043	0.158147	0.115625	0.042779	0.0253643	0.308127	0.0273839	0.0103332	0.07685	0.000202235	0.0138932	0.00393773	0.105896	0.0905619	0.122462	0.0949694	0.0118598	0.0944923	0.192345	0.0251058	0.0814903	0.0113834	0.0456381	0.213687	0.0139315	0.201933	0.0994148	0.0277353	0.0327624	0.158083	0.020832	0.0230737	0.0701483	0.0534124	0.0408419	0.0758447	0.14782	0.308773	0.252142	0.093144	0.191018	0.178228	0.122624	0.087351	0.318668	0.997046	0.999244	1.00075	1.00296	5.340902
10	-591.7754	-566.4127	-25.36264	180831	12.86042	0.264981	0.0556997	0.0232587	0.0489803	0.070975	0.10711	0.0203934	0.0628584	0.132884	0.10161	0.017553	0.0164064	0.011509	0.000862957	0.0430565	0.140166	0.153812	0.078876	0.412557	0.104275	0.0173324	0.00711068	0.153234	0.000217162	0.00963767	0.0013	0.0947915	0.19157	0.23293	0.0618852	0.01475	0.0762121	0.274394	0.0181375	0.0575419	0.0269823	0.0851435	0.122466	0.0326161	0.144662	0.0611848	0.0294448	0.0584531	0.0628633	0.128661	0.00878503	0.161383	0.139183	0.0383082	0.0238444	0.0947355	0.2306	0.0583722	0.0432659	0.140667	0.0423512	0.0434136	0.11742	0.703106	0.997012	0.999235	1.00076	1.00299	5.676781
20	-564.9897	-545.6409	-19.34878	983141.2	10.30667	0.0886903	0.0557162	0.143729	0.0641339	0.113757	0.096588	0.0289183	0.212003	0.127839	0.140342	0.0101416	0.0621856	0.0065769	0.00437461	0.0339075	0.174559	0.127702	0.0612396	0.312078	0.121925	0.0165634	0.00447364	0.261003	0.00110203	0.00683765	0.0014972	0.0428399	0.0646637	0.253445	0.0314292	0.0222304	0.0310903	0.476935	0.0203501	0.0681291	0.03956	0.151086	0.0839207	0.0433037	0.112962	0.0445488	0.0386974	0.0414104	0.0662363	0.140338	0.0201324	0.0820914	0.098917	0.063098	0.0643621	0.0293725	0.108316	0.0560375	0.066864	0.131342	0.042529	0.0339523	0.0823251	0.351838	0.998718	0.999672	1.00033	1.00128	5.282235
30	-567.122	-538.622	-28.50002	697789	9.924833	0.125007	0.105639	0.0759796	0.149857	0.122127	0.0404029	0.0482857	0.218525	0.131514	0.227847	0.0164944	0.144284	0.00382098	0.00853602	0.0321209	0.253953	0.132055	0.0612486	0.315713	0.0798941	0.0514043	0.00447235	0.298764	0.00123361	0.00966783	0.000448459	0.0419651	0.113012	0.0532175	0.0420389	0.0419682	0.0496066	0.515699	0.0356773	0.0647228	0.0219324	0.0279415	0.104376	0.146732	0.0860485	0.0309253	0.0821375	0.0476253	0.148447	0.108811	0.109694	0.117918	0.096454	0.0706539	0.0545383	0.0924241	0.116358	0.0822416	0.284211	0.100812	0.0337344	0.0431774	0.0576261	0.508766	0.998479	0.999611	1.00039	1.00152	6.190788
40	-567.536	-537.9118	-29.6242	774902.7	8.875394	0.0385404	0.0585083	0.143571	0.223854	0.149938	0.0628763	0.036861	0.264267	0.0917828	0.170917	0.0104222	0.0831502	0.0174229	0.0108353	0.0502988	0.206792	0.15727	0.0448516	0.508348	0.104736	0.0947564	0.00443112	0.11473	0.00169151	0.0424329	0.00076063	0.0647157	0.124633	0.0242738	0.0163114	0.0804209	0.14977	0.563904	0.0170481	0.0326996	0.0334314	0.0220904	0.122232	0.0746799	0.0906555	0.122033	0.214886	0.0524741	0.244547	0.133096	0.177847	0.0565113	0.0955271	0.232278	0.0955891	0.0440098	0.087953	0.0810889	0.0938248	0.144873	0.027717	0.0380715	0.0492141	0.227737	0.998556	0.999631	1.00037	1.00144	6.330188
50	-570.7473	-542.3591	-28.38823	529472.3	7.685895	0.0268257	0.0638452	0.296963	0.316839	0.136615	0.157593	0.0374269	0.269972	0.0408157	0.236071	0.0158105	0.114877	0.00433897	0.0107706	0.14726	0.234974	0.0681531	0.0214859	0.440815	0.0316659	0.0846967	0.00665078	0.117825	0.00331941	0.159046	0.000942239	0.0909348	0.098992	0.0169817	0.0179921	0.0930344	0.197523	0.741235	0.0337369	0.10421	0.0300064	0.0414814	0.0782881	0.0317759	0.102305	0.0645287	0.112038	0.0936216	0.106941	0.084261	0.076973	0.083525	0.102601	0.151487	0.0442977	0.0322308	0.0437329	0.0242779	0.0784035	0.0827864	0.0546989	0.0143395	0.0133521	0.087222	0.998254	0.999553	1.00045	1.00175	6.075414
60	-575.8881	-534.3084	-41.57967	902502.3	6.664007	0.0919722	0.039866	0.310708	0.176391	0.214893	0.15637	0.0632096	0.340674	0.0174991	0.257657	0.0135024	0.136008	0.00521754	0.0489669	0.261404	0.509852	0.103277	0.029073	0.924739	0.0446926	0.143122	0.00461652	0.193026	0.000884306	0.192027	0.00071617	0.0929428	0.0829142	0.00454336	0.0348611	0.089519	0.114104	0.695267	0.0504517	0.188667	0.0065667	0.0746552	0.219928	0.064906	0.129496	0.13318	0.155445	0.0428609	0.0722098	0.0757418	0.0286288	0.158372	0.134353	0.0347437	0.152372	0.040875	0.0840289	0.0354391	0.036901	0.00957895	0.105184	0.124645	0.0108881	0.189488	0.998662	0.999658	1.00034	1.00134	7.754123
70	-567.2387	-538.4135	-28.82521	977240.2	7.859152	0.0256038	0.052365	0.159969	0.076352	0.0340519	0.10829	0.0973279	0.118963	0.0099296	0.168406	0.0216166	0.0629817	0.0168641	0.181644	0.146032	0.175828	0.278476	0.0611038	0.271993	0.0515215	0.0826871	0.0105032	0.369672	0.00116333	0.0343556	0.000797034	0.131851	0.0376546	0.00462028	0.0161237	0.0212822	0.114382	0.349979	0.176628	0.33394	0.0076031	0.0450169	0.204697	0.136471	0.174633	0.0488501	0.199117	0.0704478	0.148855	0.131967	0.0762832	0.18762	0.110752	0.0885567	0.160268	0.121128	0.0431651	0.0687534	0.0550929	0.00344972	0.0757849	0.0779656	0.0072993	0.111286	0.998714	0.999671	1.00033	1.00129	6.160021
80	-570.395	-540.6744	-29.72053	688205.4	7.759445	0.0221862	0.111811	0.158734	0.033512	0.0189054	0.194183	0.110297	0.135448	0.0203743	0.220688	0.0464599	0.0680361	0.015122	0.0631464	0.125856	0.145171	0.167421	0.0874773	0.110371	0.084749	0.114586	0.0107081	0.281692	0.00370948	0.0414311	0.000907408	0.0657267	0.0814073	0.0038462	0.0237951	0.0378429	0.131345	0.683647	0.256931	0.165634	0.00585556	0.139722	0.0812274	0.0155888	0.0589177	0.209769	0.115377	0.057591	0.100934	0.322331	0.0962925	0.126021	0.0269274	0.145805	0.25848	0.126655	0.0875743	0.138598	0.00773177	0.0255834	0.0731279	0.0758964	0.0293312	0.0915545	0.998468	0.999608	1.00039	1.00153	6.260047
90	-573.1807	-544.7706	-28.41009	405002.2	9.654719	0.0550349	0.186722	0.285636	0.0650122	0.0129386	0.136666	0.155633	0.0610223	0.0187337	0.124336	0.0870817	0.0475852	0.0159428	0.0698397	0.259281	0.0902943	0.234527	0.0586667	0.177042	0.0521294	0.098377	0.0101883	0.154928	0.00370948	0.0534112	0.00234149	0.0143815	0.0375927	0.00584611	0.020159	0.0303082	0.130647	0.329738	0.117815	0.129254	0.0304497	0.131296	0.08461	0.0414309	0.0676516	0.127276	0.0622102	0.0210124	0.0907211	0.164936	0.154029	0.253547	0.115747	0.178461	0.325528	0.254254	0.110339	0.204984	0.0220655	0.0937145	0.0510223	0.126897	0.0121547	0.134491	0.998003	0.999489	1.00051	1.002	6.191649
