Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-1148.321	-1089.832	-58.4892	135036.4	0.871887	3.54865	0.678868	2.17928	1.37031	0.184145	3.05914	0.53641	0.808753	0.420756	0.488954	0.930729	0.781353	1.41039	0.181744	0.0989046	2.51279	1.06652	3.56122	1.04993	0.907528	0.208172	0.996543	0.999114	1.00088	1.00346	25.98453
10	-933.6668	-883.9247	-49.74205	168127.1	1.096642	2.39038	1.78545	2.65532	0.709496	0.0761583	0.750035	0.0781376	0.196682	0.138207	0.109004	0.659148	0.120648	0.492761	0.178639	0.0148078	2.47147	0.415439	2.32818	0.971624	0.445311	0.0467262	0.996902	0.999207	1.00079	1.0031	17.03363
20	-872.9963	-832.555	-40.44135	448385.1	2.7677	1.02817	0.8243	0.595882	0.93471	0.0385555	0.620538	0.0326351	0.0535803	0.036656	0.0861306	0.15248	0.0596169	1.1489	0.0614062	0.0153424	1.30785	0.378826	2.28396	0.323868	0.20006	0.108796	0.998102	0.999515	1.00048	1.0019	10.29227
30	-843.082	-809.9167	-33.16532	515389.8	3.396476	0.183436	0.826523	0.828901	0.723234	0.175035	0.438303	0.0404078	0.0635529	0.0184858	0.0514605	0.0900983	0.0337297	0.0935983	0.0434249	0.0110086	0.814649	0.277775	2.0517	0.58166	0.0620263	0.0644123	0.99823	0.999547	1.00045	1.00177	7.473421
40	-828.2765	-799.5876	-28.68886	808626.9	2.832879	0.265927	0.0814495	0.485056	0.742917	0.184972	0.143892	0.0579122	0.0383365	0.00924579	0.0951476	0.0875166	0.00313693	0.568	0.0643704	0.00485033	0.395496	0.308224	1.36499	1.0254	0.0713386	0.0766372	0.998587	0.999639	1.00036	1.00141	6.074813
50	-825.0394	-795.5125	-29.52682	154647.2	2.312057	0.564089	0.0867096	0.279487	0.899161	0.0355349	0.053272	0.105256	0.00493462	0.0029009	0.0718334	0.0320582	0.00651441	0.906651	0.0272858	0.026222	0.663714	0.157059	0.663811	1.28398	0.108847	0.0261834	0.99677	0.999173	1.00082	1.00323	6.0055
60	-819.4321	-795.4074	-24.02475	74338.48	6.773816	0.395234	0.0840784	0.201688	0.410525	0.065118	0.768201	0.0853479	0.0129766	0.0213317	0.051254	0.0301558	0.00647091	0.569737	0.0496865	0.0355486	0.367459	0.180339	0.10302	0.939115	0.0386957	0.0223002	0.995342	0.998805	1.00119	1.00467	4.438282
70	-815.64	-790.4536	-25.18634	159275.1	4.942341	0.376753	0.140626	0.362865	0.508889	0.0564017	0.544375	0.0319185	0.0141679	0.00598185	0.047044	0.0364042	0.013543	1.05759	0.0741283	0.0235719	1.14852	0.0930991	0.0601432	0.317066	0.050302	0.0893341	0.996817	0.999185	1.00081	1.00319	5.052718
80	-807.322	-787.4425	-19.87948	618079.6	6.043414	0.389975	0.0593724	0.139347	0.327252	0.0789672	0.230151	0.0137567	0.00838653	0.00284765	0.102698	0.0622933	0.0149353	0.431524	0.0654879	0.00903279	0.721255	0.261358	0.0201649	0.873736	0.0150302	0.0889073	0.998384	0.999587	1.00041	1.00162	3.916479
90	-807.4386	-788.2982	-19.14039	372126.5	7.190959	0.442581	0.0371161	0.157902	0.196145	0.199427	0.347191	0.0545745	0.00563545	0.00783176	0.0537741	0.0679522	0.0353165	0.505105	0.032658	0.0265247	0.778309	0.313932	0.0228016	0.307125	0.010518	0.0620809	0.997917	0.999467	1.00053	1.00208	3.664501
100	-816.8094	-792.6265	-24.18294	376015.5	4.23069	0.462184	0.0245706	0.197034	0.180357	0.230844	0.277867	0.0871328	0.0105538	0.00440454	0.0346071	0.0893244	0.0315969	0.321223	0.0385398	0.00659309	0.759988	0.396719	0.0826403	1.64506	0.0328566	0.0132811	0.997928	0.99947	1.00053	1.00207	4.927382
110	-815.9431	-794.0241	-21.91893	824416	5.051908	0.407579	0.0746158	0.153349	0.249903	0.284093	0.315202	0.0935109	0.0324637	0.00845594	0.032311	0.0708455	0.0328709	0.335765	0.0475517	0.00302405	1.23937	0.481525	0.0290892	0.396212	0.0800362	0.0153998	0.9986	0.999642	1.00036	1.0014	4.383174
120	-814.8228	-790.6648	-24.15805	112213.9	4.112713	0.509913	0.0386143	0.0981956	0.481378	0.36676	0.415507	0.0649309	0.0163595	0.00523155	0.0682412	0.0369784	0.0253574	0.472369	0.0694718	0.0014959	0.98329	0.514482	0.0420196	0.623971	0.0787811	0.0106559	0.996208	0.999028	1.00097	1.0038	4.924002
130	-815.0901	-792.2481	-22.84193	44277.59	5.824306	0.53931	0.0655475	0.078763	0.423482	0.259303	0.530526	0.0890016	0.0152169	0.0117268	0.0657884	0.0421002	0.0552669	0.629935	0.127677	0.00378584	0.653862	0.448508	0.0507729	0.306946	0.0286364	0.0206688	0.993966	0.998451	1.00154	1.00605	4.446824
140	-819.9442	-800.3181	-19.62612	98448.34	5.374465	0.603423	0.231287	0.264838	0.295348	0.0643814	0.437792	0.0372032	0.0148748	0.0120983	0.0487761	0.0234137	0.0563102	0.629935	0.17026	0.00930721	0.36534	0.315486	0.0278311	0.256534	0.0353013	0.0235953	0.995952	0.998962	1.00103	1.00405	3.923335
150	-812.14	-791.8213	-20.31868	193199.6	3.899076	0.417078	0.12961	0.148876	0.167415	0.0974715	0.390021	0.0516379	0.0204186	0.0113856	0.0499323	0.0574098	0.0169741	0.965711	0.29326	0.0132268	0.423691	0.324735	0.0237805	0.205621	0.074563	0.0499473	0.99711	0.99926	1.00074	1.00289	3.932765
160	-814.5004	-795.4169	-19.08349	36897.6	5.358445	0.370009	0.0804847	0.0643819	0.101286	0.15757	0.205738	0.0728689	0.00821108	0.00968081	0.0453671	0.0755141	0.0167308	0.594438	0.256107	0.0287249	0.584169	0.367334	0.0120178	0.62966	0.121694	0.0207121	0.99339	0.998302	1.00168	1.00663	3.822698
170	-820.6119	-798.4913	-22.12055	5456.799	3.510673	0.376815	0.0561956	0.088925	0.210056	0.33428	0.114636	0.0229224	0.0153675	0.00300776	0.030565	0.112962	0.0917384	0.644531	0.226518	0.0894565	0.300561	0.184861	0.0211928	1.29593	0.0116864	0.0433624	0.982845	0.995553	1.00434	1.01726	4.275574
180	-820.1366	-796.9232	-23.21342	11537.57	3.456116	0.527844	0.0894312	0.154115	0.364897	0.39985	0.222304	0.0584621	0.0194651	0.00323278	0.0339738	0.187716	0.0356595	1.16526	0.26021	0.0595104	0.322104	0.360361	0.0511965	0.162958	0.0144765	0.0742408	0.988191	0.996953	1.003	1.01186	4.567268
190	-815.9107	-795.4848	-20.42592	14357.09	4.183651	0.371352	0.126232	0.129987	0.264728	0.109573	0.130519	0.0471846	0.0301518	0.00212965	0.0402605	0.0859408	0.0505377	0.950659	0.41589	0.0502753	0.139162	0.477103	0.0741795	0.419589	0.0228315	0.0926006	0.989412	0.997271	1.00269	1.01063	4.030885
200	-818.2415	-794.0236	-24.21792	62516.43	3.349251	0.561155	0.0980563	0.0697894	0.432626	0.304102	0.307599	0.0262558	0.0206249	0.00286753	0.0666722	0.0435734	0.0224335	1.10694	0.415801	0.0613376	0.154309	0.3939	0.100829	0.576628	0.0206475	0.0362088	0.994921	0.998697	1.00129	1.00509	4.822362
210	-819.8169	-799.8015	-20.01543	221588.9	5.588094	0.294859	0.184821	0.0656483	0.413708	0.238615	0.396758	0.0401233	0.0131934	0.00460087	0.027107	0.0241095	0.0206941	0.286964	0.410343	0.0955644	0.658266	0.293228	0.0700211	0.370508	0.0497645	0.0229575	0.997301	0.999309	1.00069	1.0027	3.981854
220	-820.015	-794.3755	-25.63943	67076.28	3.494252	0.388179	0.0880383	0.364597	0.75964	0.578863	0.274722	0.0171939	0.0112542	0.00311445	0.0648069	0.0456133	0.0172941	0.421048	0.339557	0.100834	1.11974	0.19736	0.126251	0.258651	0.0575094	0.0412107	0.995096	0.998742	1.00125	1.00491	5.275476
230	-821.5583	-794.6557	-26.90258	237548.6	2.497815	0.730873	0.0822706	0.449855	1.0523	0.1552	0.434887	0.0376332	0.010069	0.00716473	0.050797	0.0726218	0.0353527	0.906679	0.168703	0.0804703	0.153949	0.295278	0.0656315	0.265648	0.0698073	0.0179162	0.997393	0.999333	1.00066	1.00261	5.143104
240	-815.4345	-791.0735	-24.36107	868212.6	4.952845	0.46504	0.0797714	0.325807	0.962808	0.118528	0.246771	0.054159	0.00971147	0.00601676	0.020038	0.0795707	0.0902703	1.17822	0.456314	0.0525447	0.0867196	0.188471	0.0309469	0.348237	0.0613339	0.0226802	0.998636	0.999651	1.00035	1.00136	4.883954
250	-823.2423	-796.7769	-26.46542	779561.6	5.165511	0.297602	0.0589592	0.244351	1.24914	0.0868634	0.472716	0.0529864	0.0190243	0.00762748	0.026757	0.120846	0.0577605	1.49142	0.169027	0.0611869	0.109888	0.0960333	0.0686519	0.451661	0.0680142	0.0424306	0.998561	0.999632	1.00037	1.00144	5.252948
260	-815.5645	-796.7948	-18.76971	491211.5	5.194777	0.332502	0.0880489	0.275237	0.4477	0.163616	0.211205	0.0525135	0.0319127	0.00493048	0.0579495	0.062579	0.0379075	0.66466	0.17204	0.025612	0.516308	0.0364575	0.0470061	0.478197	0.0247538	0.032497	0.998187	0.999536	1.00046	1.00181	3.763635
