Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-334.3623	-269.108	-65.25427	350830.8	0.8367445	0.191123	0.731371	0.187447	1.12054	0.0463874	1.62508	0.406522	0.67879	1.66128	0.395938	1.52128	0.114133	1.21569	0.416084	0.195918	0.546094	1.24908	2.16556	2.84846	0.194385	0.591984	4.08705	0.32264	1.38945	2.22495	0.997855	0.999451	1.00055	1.00215	26.12722
10	-300.7612	-236.4973	-64.26391	271366	1.79188	0.152618	0.149492	0.122235	0.462624	0.0403838	1.60263	0.225016	0.575972	1.26677	0.830823	2.45961	0.107243	0.514813	0.293056	0.583777	0.709275	1.90236	0.691965	1.73298	0.0805646	1.77984	2.32989	0.135221	1.4643	1.95206	0.997561	0.999376	1.00062	1.00244	22.16553
20	-272.7122	-223.5253	-49.18694	425643.8	2.37332	0.0946156	0.195764	0.226758	0.149789	0.0151798	0.768731	0.0640846	0.186415	2.12155	1.23075	0.800181	0.051033	0.149073	0.192807	0.249233	0.752231	0.601256	0.409048	1.39636	0.09392	1.27756	0.848054	0.347252	0.159269	0.912838	0.998052	0.999502	1.0005	1.00195	13.29375
30	-256.8147	-213.1138	-43.70093	353784	3.225357	0.304363	0.0309945	0.218947	0.110348	0.0358946	0.606232	0.175017	0.274902	0.442104	1.74811	0.844013	0.10361	0.0287292	0.243573	0.124097	0.201484	0.0831491	0.363311	1.49679	0.268877	0.593882	1.06581	0.498878	0.360562	0.182229	0.997864	0.999453	1.00055	1.00214	10.4059
40	-220.5748	-194.1144	-26.46037	202109.1	3.797725	0.166431	0.0567957	0.0737753	0.053515	0.0337004	0.137004	0.136223	0.0747005	0.409816	0.744076	0.200937	0.060068	0.0256403	0.145983	0.231585	0.205931	0.0730201	0.127991	0.701169	0.11655	0.446338	0.726384	0.168408	0.156776	0.0702977	0.997174	0.999276	1.00072	1.00283	5.343113
50	-212.06	-191.2733	-20.78672	151722.9	5.275782	0.0898351	0.099051	0.091548	0.027055	0.0669382	0.0631325	0.128583	0.285959	0.476834	0.596134	0.0861921	0.184784	0.0275012	0.0784764	0.120926	0.182818	0.106907	0.046795	0.460585	0.0251535	0.230921	0.184173	0.244765	0.218138	0.149249	0.996739	0.999165	1.00083	1.00327	4.272454
60	-208.3117	-191.5772	-16.73447	244526.5	6.456692	0.276193	0.190779	0.0478694	0.0927169	0.0430151	0.0646837	0.0492472	0.0542885	0.238831	0.184495	0.106299	0.0636508	0.0879013	0.124607	0.0730997	0.0875278	0.0636378	0.044225	0.518088	0.0120663	0.30831	0.193129	0.0925294	0.435455	0.1563	0.997431	0.999342	1.00066	1.00257	3.608946
70	-212.9443	-191.4962	-21.44808	169812.5	5.077149	0.0712981	0.16283	0.0183452	0.0467659	0.0783668	0.0345113	0.0502005	0.138014	0.333265	0.144698	0.16646	0.0507937	0.11038	0.135561	0.489864	0.126623	0.0495512	0.0969098	0.750269	0.0109135	0.267252	0.219375	0.0742831	0.612387	0.149803	0.996917	0.99921	1.00079	1.00309	4.388722
80	-208.3013	-187.8669	-20.43433	834315.8	4.426257	0.017994	0.23817	0.0639357	0.0162653	0.0749118	0.00571836	0.034319	0.129122	0.108971	0.160764	0.160623	0.100507	0.116739	0.124438	0.0767107	0.0472972	0.188718	0.131621	0.677553	0.0406833	0.200126	0.607513	0.107165	0.286055	0.343657	0.998609	0.999644	1.00036	1.00139	4.059578
90	-208.1938	-186.7202	-21.47362	913496.6	5.805828	0.0605961	0.147603	0.0397423	0.0402513	0.0252088	0.00100301	0.0392843	0.0638833	0.157237	0.145383	0.100773	0.0596327	0.232942	0.292867	0.0484331	0.0215868	0.280934	0.237282	0.516875	0.103101	0.0801613	0.755381	0.269556	0.36078	0.314189	0.99867	0.99966	1.00034	1.00133	4.394689
