Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-740.082	-651.793	-88.28906	563103.5	0.8876632	0.531585	0.093363	1.88622	1.74757	0.199438	0.901341	0.216128	0.346244	0.480225	3.14516	0.421962	1.92906	0.029966	3.66363	0.886057	3.11126	0.132297	0.260823	0.467347	0.525339	0.20592	0.640461	1.90873	1.49354	2.31426	0.992233	0.111132	1.31876	0.720553	0.625836	2.01241	2.20942	0.963547	0.998307	0.999567	1.00043	1.00169	36.49182
10	-643.0049	-558.6528	-84.35208	824004.4	0.8914518	0.206688	0.152672	2.6844	2.23009	0.571368	0.723451	0.270038	0.222315	0.303019	2.77881	0.152293	1.61004	0.0227304	2.9541	0.881467	2.85441	0.141632	0.115609	0.33774	0.211557	0.122862	0.200908	1.26943	0.797809	1.011	1.44417	0.121091	2.44756	0.639369	0.246291	1.39281	2.71886	0.240587	0.9986	0.999642	1.00036	1.0014	32.07717
20	-564.3758	-491.8801	-72.49563	874867.9	2.04319	0.250755	0.038124	3.55563	0.818724	0.336655	0.843618	0.0797361	0.115023	0.0427987	0.152845	0.120015	0.278693	0.0360525	0.340327	0.48746	2.31154	0.0612015	0.0534931	0.510491	0.394453	0.0430587	0.0809566	0.398227	1.55633	1.49305	1.5306	0.203755	1.39302	0.133385	0.187268	0.26867	3.1902	0.169661	0.998641	0.999653	1.00035	1.00136	21.47583
30	-512.2005	-454.8759	-57.32463	678802.6	2.755031	0.212214	0.086504	4.03831	0.635329	0.226804	0.845529	0.0315891	0.0678208	0.101983	0.0807842	0.131327	0.0816564	0.029522	0.203689	0.233355	0.260283	0.0441939	0.0175256	0.287716	0.189159	0.0401568	0.118282	0.0689834	1.88218	0.474977	0.645354	0.0837118	1.31561	0.154432	0.12122	0.223688	0.857718	0.157451	0.998458	0.999606	1.00039	1.00154	13.94905
40	-466.0436	-427.165	-38.87865	426309.4	4.800091	0.203074	0.0831211	2.05981	0.767556	0.234838	0.550388	0.0363904	0.0683383	0.150272	0.112288	0.0454963	0.0627234	0.0820951	0.149745	0.0835479	0.136128	0.0345204	0.0110526	0.134916	0.0734958	0.0959372	0.0516182	0.0738944	0.600242	0.138886	0.713357	0.116741	0.191068	0.118175	0.145454	0.045848	0.487146	0.0368727	0.998054	0.999502	1.0005	1.00195	7.895033
50	-433.5919	-407.972	-25.6199	816832.8	4.202518	0.135418	0.0434094	0.202556	0.802937	0.0508787	0.26437	0.0362714	0.0383592	0.0542963	0.11121	0.0151853	0.029278	0.263121	0.101454	0.0699997	0.0230502	0.1681	0.00685405	0.0770197	0.0480744	0.0521397	0.0441082	0.04311	0.827889	0.018394	0.349763	0.18592	0.301889	0.0507789	0.164841	0.0469006	0.202441	0.0171363	0.998594	0.99964	1.00036	1.00141	4.847155
60	-407.8131	-395.8334	-11.97969	912181.2	10.43577	0.220034	0.0358785	0.139041	0.400711	0.0219405	0.177298	0.0334347	0.0272718	0.046183	0.0422203	0.0135935	0.0504287	0.102662	0.106616	0.0161018	0.0112692	0.0897177	0.00425354	0.138392	0.128291	0.0901503	0.112313	0.0711002	0.474362	0.0213965	0.200198	0.0476766	0.100857	0.0607927	0.111128	0.0199476	0.278408	0.00796955	0.998669	0.99966	1.00034	1.00133	3.401639
70	-400.5975	-391.0215	-9.575986	794797	10.54839	0.175021	0.013456	0.0546786	0.187799	0.0149776	0.387677	0.0516825	0.0134137	0.0317162	0.0242402	0.0132093	0.0451698	0.0836792	0.224968	0.0580828	0.0514638	0.02017	0.00270137	0.0564905	0.0927497	0.0674181	0.0610278	0.0744176	0.452546	0.0769745	0.190317	0.00779069	0.194594	0.113609	0.0861873	0.035417	0.190869	0.014379	0.998575	0.999635	1.00036	1.00143	3.168893
80	-397.1214	-391.0498	-6.07167	266388.5	9.453629	0.186249	0.00904958	0.0322396	0.184058	0.0107496	0.152671	0.0248758	0.00962625	0.0159501	0.0460548	0.00724026	0.0657061	0.0855113	0.230447	0.185978	0.0369987	0.0239445	0.00127754	0.107238	0.132468	0.0633686	0.0345527	0.0488268	0.465721	0.0996323	0.179423	0.0216754	0.0425398	0.0415941	0.0490966	0.0383281	0.130105	0.042644	0.997538	0.99937	1.00063	1.00246	2.805843
90	-407.5661	-401.3495	-6.216534	354255	15.05535	0.107518	0.00665672	0.0187694	0.185249	0.00588187	0.149003	0.0510507	0.00574552	0.0183677	0.0339433	0.0105115	0.0478897	0.0677253	0.208576	0.121964	0.0809028	0.0636503	0.00112072	0.0902622	0.0662274	0.216156	0.0440127	0.0333492	0.555504	0.088286	0.0877135	0.040278	0.0332515	0.0276391	0.0299263	0.0486917	0.127234	0.0439813	0.997865	0.999454	1.00054	1.00214	2.717038
100	-401.9256	-397.7534	-4.17228	415061.1	13.81552	0.13637	0.0138584	0.0205872	0.056547	0.00575607	0.258527	0.0742092	0.00364581	0.019549	0.0199019	0.00839294	0.0440459	0.0423788	0.176412	0.0904568	0.0254156	0.0804229	0.0024682	0.149162	0.107463	0.124206	0.0362453	0.0173854	0.286353	0.128661	0.114365	0.0338877	0.025389	0.00928055	0.174904	0.0553425	0.205674	0.0783072	0.998028	0.999495	1.0005	1.00197	2.625571
