Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-298.6637	-193.7616	-104.9021	912651.6	0.9195902	2.55198	2.04318	3.10689	1.14575	1.24462	3.5171	2.78235	0.082287	1.63241	1.31967	0.445303	0.0225721	0.704147	0.601898	0.541015	0.219203	1.02604	0.326945	3.42304	1.3725	0.476605	0.991904	2.63509	0.20242	1.6483	1.81763	0.621124	0.000693714	0.979161	0.00704736	2.83316	1.45498	1.65078	0.123967	0.390834	0.0524212	2.65554	0.99867	0.99966	1.00034	1.00133	46.65055
10	-263.52	-179.9086	-83.61141	997619.9	1.6091	2.65176	1.70967	0.285459	1.19819	0.87547	1.05344	0.733125	0.0471159	0.383926	0.666571	0.88426	0.00624356	0.134732	0.284301	0.196885	0.0586408	0.59745	0.596836	0.849168	0.972939	0.190636	0.227558	1.18256	0.120638	2.14877	1.46774	0.421612	0.00325317	0.202021	0.00638236	1.89055	1.38556	1.83677	0.242306	0.109629	0.121631	0.464871	0.998728	0.999675	1.00032	1.00127	26.20866
20	-240.0767	-164.2957	-75.78102	763307	1.565233	0.840031	1.1964	1.11094	0.32337	1.23203	0.211627	1.30355	0.0598371	0.424149	0.956587	0.316086	0.0101797	0.195776	0.479732	0.11712	0.0650351	0.412047	0.226691	0.503336	0.486108	0.220138	0.0749698	0.571419	0.286108	0.360211	1.90252	0.072738	0.00205929	0.593989	0.0172066	2.18942	1.21631	2.44506	0.212776	0.180813	0.101279	0.375069	0.998545	0.999628	1.00037	1.00146	21.29271
30	-235.0275	-167.1076	-67.91985	664619.6	2.328391	0.732193	1.34047	0.776379	0.291946	0.958015	0.366981	0.401079	0.0310535	0.846258	0.39121	0.379542	0.0305276	0.138095	0.103346	0.137035	0.0918895	0.430904	0.0908486	1.19088	0.49533	0.0395132	0.17183	0.211273	0.531989	0.460998	1.79244	0.476249	0.00175145	0.459149	0.0234763	1.41726	0.333318	1.21262	0.11732	0.278522	0.109738	0.321481	0.998441	0.999601	1.0004	1.00156	17.18291
40	-221.7576	-157.2956	-64.46193	461331.9	2.305939	0.402914	1.1147	0.245761	0.311982	0.213323	0.133442	0.672125	0.0590077	1.16308	1.33364	0.192564	0.0306793	0.147477	0.191799	0.0953395	0.0253599	0.283727	0.344804	1.34519	0.534579	0.554167	0.442863	0.295953	0.185738	0.328434	2.21581	0.189268	0.00396444	0.355886	0.0355608	0.814742	0.100631	0.830129	0.0322393	0.221994	0.0780411	0.170205	0.998129	0.999521	1.00048	1.00187	15.69712
50	-187.2873	-136.3638	-50.92349	811140.5	4.448975	0.099251	1.30475	0.148021	0.318114	0.179095	0.0999825	0.407882	0.0325376	0.630705	0.363105	0.440113	0.0147526	0.145849	0.732979	0.0132397	0.0268319	0.146585	0.167047	0.236873	0.214078	0.449987	0.373858	0.255305	0.472619	0.169687	0.493674	0.069854	0.000875291	0.20751	0.139947	0.570208	0.129972	0.452504	0.0441405	0.548966	0.0926593	0.268498	0.998589	0.999639	1.00036	1.00141	10.46206
60	-177.803	-134.6869	-43.1161	628709.4	3.922639	0.0389999	0.486671	0.0273441	0.210167	0.167997	0.381087	0.228953	0.123911	0.0971782	0.331537	0.407472	0.0211008	0.211885	0.335976	0.0149541	0.136833	0.0950031	0.138736	0.166317	0.160825	0.642635	0.184047	0.266715	0.723194	0.360149	0.0489364	0.0225987	0.000565317	0.135173	0.0641365	1.02245	0.147601	0.347339	0.0212594	0.200254	0.0384742	0.706232	0.998397	0.99959	1.00041	1.0016	8.714711
70	-163.4008	-122.3734	-41.02736	581281	4.62422	0.080823	0.0825725	0.0272074	0.0839268	0.217263	0.430374	0.132367	0.104324	0.174547	0.292427	0.222847	0.0176248	0.190069	1.24255	0.0496512	0.140443	0.0680343	0.211406	0.0640697	0.1319	0.726901	0.217297	0.191058	0.919585	0.296892	0.072772	0.077201	0.000339748	0.0657155	0.208903	0.474523	0.0735832	0.354256	0.0482805	0.163673	0.101397	0.27025	0.998333	0.999574	1.00043	1.00167	8.227053
80	-140.7289	-115.9527	-24.77618	823288.5	7.510198	0.0148241	0.0419902	0.020392	0.0311703	0.116766	0.413127	0.0980601	0.14564	0.306397	0.245005	0.0425204	0.0570965	0.288277	0.209618	0.0638556	0.0464143	0.117233	0.199188	0.0944643	0.0950827	0.681488	0.100662	0.209026	0.494027	0.0307151	0.0242907	0.0693997	0.000272139	0.0607901	0.317948	0.0478889	0.0477284	0.182737	0.0696865	0.090906	0.0581796	0.0811944	0.998599	0.999642	1.00036	1.0014	5.21406
90	-142.5814	-116.2005	-26.38086	443003.6	6.855392	0.0197024	0.077465	0.0430492	0.0389199	0.107273	0.306559	0.128471	0.089369	0.321579	0.328293	0.0437733	0.0300065	0.386761	0.276457	0.113562	0.040102	0.210363	0.050734	0.0950988	0.0652027	0.332629	0.17	0.0765103	0.90213	0.062555	0.0580447	0.157022	0.000410008	0.182439	0.092662	0.0498495	0.0242818	0.0927553	0.0524882	0.235369	0.0684858	0.142531	0.998091	0.999512	1.00049	1.00191	5.472902
100	-140.9739	-116.8211	-24.15289	143079.9	8.819323	0.059933	0.31109	0.02208	0.0384292	0.0644174	0.120605	0.156575	0.121951	0.0519482	0.0460019	0.0125563	0.0673976	0.243004	0.333634	0.143454	0.0195835	0.0692366	0.0573349	0.0896198	0.010725	0.4739	0.31718	0.132303	0.5948	0.0720243	0.0769129	0.129779	0.000292804	0.535237	0.0320356	0.0538523	0.160325	0.0751551	0.0610215	0.127863	0.101282	0.0303134	0.996642	0.99914	1.00086	1.00336	5.013853
