Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-1084.394	-980.7263	-103.6676	289636.5	3.049387	0.0354708	0.71612	0.0961446	0.359596	0.234544	0.527684	0.0320261	0.0475937	0.0350862	0.558852	0.178239	0.26815	0.0619192	1.34559	1.57827	0.0152796	0.801578	0.0812635	0.108771	0.0292932	0.112076	0.0695713	0.0467609	0.671723	0.147514	0.0119609	0.0981032	0.273642	0.147953	0.531481	0.130018	0.262924	0.317313	0.364949	0.0637488	0.0216265	0.0625449	0.123914	0.065396	0.755325	0.812993	0.407124	0.90008	0.0213371	0.0371041	0.27168	0.310425	0.649067	0.0461449	0.238233	0.396386	0.368185	0.120261	0.309217	0.118004	0.0912827	0.310945	0.175015	0.0312597	0.103935	0.346405	0.640186	0.703028	0.0550259	0.0683661	0.302237	0.748686	0.997639	0.999396	1.0006	1.00236	19.97263
10	-769.0022	-686.1098	-82.89235	930666.8	5.596401	0.0858927	0.565205	0.158107	0.196887	0.316553	0.152669	0.060508	0.135315	0.0488991	0.526453	0.0433505	0.442225	0.0927539	0.553985	0.877647	0.0301754	0.359507	0.0977079	0.168509	0.0254455	0.183268	0.108941	0.0789548	0.368706	0.170135	0.0190145	0.107521	0.331159	0.189753	0.211679	0.256968	0.140347	0.141923	0.247724	0.313091	0.031264	0.0944533	0.0555065	0.292343	0.777788	0.597937	0.292934	0.345361	0.00901265	0.0691988	0.192768	0.231935	0.367109	0.166077	0.195545	0.223873	0.45934	0.0557929	0.229402	0.288716	0.111757	0.159113	0.264686	0.0383818	0.0793225	0.177596	0.117976	0.271047	0.0451769	0.0431257	0.124334	0.132812	0.998683	0.999663	1.00034	1.00132	14.34866
20	-702.3821	-647.2943	-55.08777	477441.2	7.503948	0.219755	0.286361	0.0353826	0.0467319	0.186494	0.198814	0.11235	0.227652	0.114053	0.156376	0.0279599	0.263134	0.0683267	0.0942545	0.535578	0.0106968	0.132866	0.129564	0.162135	0.0394808	0.195418	0.0378397	0.106794	0.0818602	0.168644	0.00915231	0.161927	0.401939	0.0812523	0.230222	0.211529	0.29935	0.0562987	0.254576	0.179204	0.0676555	0.0878702	0.0507808	0.181693	0.195483	0.300587	0.0948231	0.139061	0.0106554	0.0546004	0.0545627	0.278328	0.091582	0.397125	0.0541188	0.0952812	0.228817	0.0152202	0.170335	0.137825	0.0498816	0.0601049	0.344878	0.00423633	0.0688641	0.151131	0.097476	0.25688	0.0191966	0.0359354	0.0488998	0.195942	0.998161	0.99953	1.00047	1.00184	9.563801
30	-661.0673	-619.0382	-42.02907	152243	8.950719	0.0729352	0.166168	0.0208194	0.0360524	0.155096	0.0987132	0.166941	0.0939816	0.142352	0.0537384	0.0249105	0.13613	0.172235	0.142287	0.405706	0.0122981	0.129815	0.0761419	0.252029	0.0277093	0.181252	0.0239781	0.0730841	0.13413	0.17467	0.00850766	0.0773924	0.283409	0.101765	0.285372	0.120339	0.0910369	0.0760469	0.209604	0.151666	0.0204717	0.122063	0.03002	0.086685	0.0434761	0.301326	0.190934	0.146204	0.00863712	0.0565773	0.0177496	0.354215	0.0908188	0.0920872	0.0280354	0.180759	0.310678	0.0134814	0.0957215	0.0540071	0.0237257	0.0189187	0.12568	0.0103321	0.088823	0.12407	0.133789	0.413539	0.0414533	0.0364936	0.0785571	0.128725	0.996744	0.999166	1.00083	1.00326	7.846366
40	-672.504	-624.9581	-47.54595	727336.6	6.719794	0.157692	0.230124	0.036964	0.00832714	0.191328	0.0673285	0.0889949	0.0421125	0.0943455	0.157393	0.0145119	0.207004	0.208465	0.238325	0.184041	0.0184074	0.122484	0.0534522	0.0598403	0.0801054	0.157033	0.0366101	0.0698287	0.345359	0.207642	0.00196058	0.0684617	0.431178	0.147275	0.281761	0.137643	0.171581	0.0958079	0.211933	0.210006	0.203153	0.141215	0.0548978	0.0742981	0.0491382	0.133483	0.112682	0.208907	0.0188091	0.153499	0.0227734	0.339475	0.0516021	0.161141	0.045635	0.151902	0.389565	0.0277339	0.0238137	0.192396	0.0448192	0.0692233	0.0828997	0.00387318	0.0814073	0.184975	0.0726326	0.310669	0.0692092	0.0754921	0.0209995	0.0727287	0.99851	0.999619	1.00038	1.00149	8.480374
50	-654.1424	-618.4428	-35.69962	141480.9	8.765525	0.284091	0.161817	0.140123	0.00768789	0.130332	0.0772368	0.0368816	0.0847392	0.105657	0.129318	0.0187189	0.174801	0.101562	0.190858	0.116772	0.0146334	0.0932654	0.0591879	0.177971	0.0954175	0.109689	0.0828702	0.050311	0.195505	0.050034	0.00182833	0.103961	0.173439	0.133141	0.138162	0.0704629	0.1645	0.0893525	0.140101	0.134023	0.207383	0.0636742	0.0191043	0.0508039	0.0349657	0.174217	0.0255744	0.138577	0.0180681	0.435526	0.0236537	0.124649	0.0517351	0.218438	0.209757	0.171648	0.321144	0.0116532	0.0743671	0.0660431	0.0285768	0.0546447	0.0574095	0.00739485	0.0389031	0.0546836	0.119188	0.26663	0.034775	0.114277	0.00914599	0.0694142	0.996623	0.999135	1.00086	1.00338	7.134474
60	-641.2985	-606.9575	-34.34097	993550.8	7.479238	0.358592	0.162637	0.106511	0.0064343	0.168992	0.0223985	0.0775688	0.122182	0.109844	0.193991	0.0347599	0.294372	0.0920683	0.10802	0.0837346	0.0255933	0.0838229	0.0499474	0.145448	0.186848	0.106222	0.0837624	0.0639165	0.180482	0.170968	0.00139872	0.0160258	0.107109	0.0828888	0.174315	0.0427207	0.186465	0.173075	0.0837313	0.0875041	0.104742	0.0737093	0.0385555	0.0395265	0.0881446	0.166552	0.0469189	0.144255	0.0284614	0.310709	0.0374094	0.0598168	0.0702279	0.0904059	0.117799	0.0663423	0.109396	0.0321959	0.0973697	0.0286014	0.0349805	0.0931677	0.0306911	0.00743873	0.0445993	0.153616	0.221528	0.203147	0.0245966	0.0424926	0.00338121	0.187465	0.998725	0.999674	1.00033	1.00128	6.792593
70	-654.2583	-623.6336	-30.62465	706968.2	9.550613	0.1426	0.302309	0.128763	0.0179184	0.275555	0.00441769	0.216866	0.269486	0.0706605	0.0468918	0.0547386	0.0974316	0.143758	0.147148	0.294734	0.0366449	0.0931589	0.0509255	0.0764194	0.158098	0.093873	0.0616123	0.0659212	0.188689	0.192675	0.00269533	0.0136562	0.0928346	0.0680482	0.155323	0.0373889	0.105714	0.048779	0.0929375	0.100386	0.0600935	0.0205383	0.0505641	0.00986204	0.0905386	0.122063	0.0929845	0.0820732	0.0205856	0.311315	0.095313	0.0617185	0.115078	0.111083	0.181317	0.099183	0.0413224	0.107299	0.148467	0.0653311	0.0930669	0.0567958	0.0502665	0.00492038	0.0325401	0.0616736	0.202941	0.121242	0.0352535	0.0375686	0.0150707	0.0548192	0.998489	0.999613	1.00039	1.00151	6.601944
80	-646.1753	-620.2402	-25.9351	275914	12.63183	0.0391119	0.139138	0.0774782	0.0503585	0.10802	0.00738012	0.111767	0.186506	0.0352038	0.270621	0.0603332	0.12152	0.223574	0.167746	0.0968228	0.0493872	0.083717	0.114377	0.0693281	0.301437	0.132555	0.166062	0.0967628	0.109566	0.175611	0.00946488	0.0273091	0.0414219	0.0429861	0.0358332	0.0115489	0.22861	0.0665531	0.164947	0.0478981	0.0990709	0.0254406	0.049845	0.00563256	0.0593974	0.0678791	0.146512	0.0286413	0.0268416	0.0952671	0.0852671	0.0199288	0.0772439	0.105275	0.106577	0.0270758	0.0774104	0.184105	0.088483	0.0738986	0.0271419	0.0387558	0.121597	0.00151605	0.0681281	0.0149163	0.130037	0.30066	0.0773845	0.0766148	0.0346434	0.0424818	0.997581	0.999381	1.00062	1.00242	6.054624
90	-659.8019	-631.0669	-28.73498	266336.6	8.427222	0.026818	0.129631	0.046994	0.0675007	0.0802535	0.016554	0.17195	0.148017	0.0645998	0.164147	0.102941	0.0478769	0.129898	0.0623852	0.0340826	0.0627726	0.14845	0.129376	0.0476973	0.117633	0.0618222	0.104364	0.0950538	0.158648	0.209608	0.00489958	0.00756046	0.0323193	0.0217994	0.00812281	0.0149265	0.178247	0.181494	0.283706	0.207823	0.0401733	0.0479204	0.0474562	0.0209681	0.0710621	0.179588	0.0354851	0.0411153	0.0233255	0.0910171	0.0856525	0.135277	0.103273	0.0622055	0.1617	0.0316337	0.158521	0.0376507	0.212823	0.130794	0.0434013	0.0264779	0.157736	0.00899744	0.0668388	0.0253546	0.398541	0.269002	0.0541347	0.0636656	0.0373249	0.0504546	0.997538	0.99937	1.00063	1.00246	6.289542
