Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-731.6755	-678.8279	-52.8476	381164.6	4.559042	0.577371	0.753129	0.192462	0.137626	0.0260047	0.10876	0.293374	0.337729	0.258879	0.116658	0.0279004	0.105846	0.521352	0.0453646	0.213643	0.0165797	0.170965	0.0859281	0.100849	0.826381	0.0585075	0.687772	0.203641	0.557164	0.1924	0.492509	0.228856	0.206382	0.0308417	0.118514	0.0108842	0.140217	0.118514	0.4787	0.570284	0.350601	0.184614	0.133181	0.33467	0.28683	0.282343	0.997942	0.999473	1.00053	1.00206	10.58423
10	-560.6351	-516.9325	-43.70259	787508.6	5.642851	0.403494	1.05177	0.160986	0.120679	0.0219622	0.0750244	0.195484	0.165619	0.0817267	0.606317	0.0119865	0.0749537	0.261133	0.0645907	0.0283444	0.0193367	0.0801127	0.0660142	0.109602	0.274175	0.151415	0.56662	0.125115	0.401521	0.0559843	0.349992	0.135907	0.0465888	0.00959626	0.107086	0.0254356	0.171895	0.118576	0.148162	0.949935	0.165076	0.0615108	0.101057	0.132239	0.538448	0.206455	0.998568	0.999634	1.00037	1.00143	8.441923
20	-532.2241	-504.4151	-27.80904	536334.3	8.283083	0.058703	0.671695	0.202717	0.1553	0.017157	0.0596489	0.0758158	0.0396631	0.0897833	0.384404	0.00960289	0.066268	0.0313593	0.0503661	0.0628249	0.0309874	0.190172	0.0645366	0.175291	0.121482	0.175521	0.207729	0.0792239	0.523176	0.0270746	0.239503	0.039308	0.103512	0.030981	0.0587229	0.0290296	0.0630163	0.210729	0.058643	0.069511	0.140267	0.0502972	0.0769342	0.158202	0.637263	0.131974	0.998265	0.999556	1.00044	1.00174	5.668395
30	-500.6618	-482.6337	-18.02815	708752.3	9.669721	0.0265236	0.143395	0.210349	0.140892	0.03654	0.0899099	0.0717571	0.0503196	0.074663	0.266367	0.0547029	0.0298309	0.191657	0.0678667	0.0466092	0.0178218	0.29231	0.0347501	0.08264	0.0790982	0.190219	0.0305531	0.0650815	0.381924	0.105275	0.0916828	0.0279817	0.12376	0.0458552	0.150634	0.0376685	0.170064	0.0604993	0.115054	0.0414101	0.070199	0.143675	0.0531978	0.143635	0.351223	0.0640653	0.998491	0.999614	1.00039	1.00151	4.471662
40	-489.4864	-471.3088	-18.17763	200194.7	8.521405	0.0430961	0.0353451	0.144341	0.123497	0.0324731	0.106443	0.0567955	0.0453144	0.0625523	0.202108	0.0842677	0.0182465	0.231834	0.146127	0.0442806	0.0294626	0.110675	0.0357703	0.0598965	0.0736774	0.182187	0.0601835	0.0248954	0.554779	0.0637265	0.11807	0.0306567	0.0580587	0.0544046	0.0757413	0.143553	0.130479	0.11781	0.0803187	0.135874	0.0815941	0.182365	0.0416529	0.0997518	0.48489	0.103296	0.997161	0.999273	1.00072	1.00284	4.51049
50	-489.3353	-472.486	-16.84922	185049.7	11.30636	0.0270958	0.0747086	0.193348	0.0937279	0.0872888	0.0363382	0.112209	0.0186367	0.0367841	0.132987	0.102551	0.00715075	0.238578	0.135355	0.0519888	0.0792831	0.0241418	0.0410816	0.0698271	0.0293867	0.137359	0.115092	0.0194824	0.44875	0.0424045	0.0920265	0.0424597	0.058502	0.0482111	0.0497974	0.168108	0.052289	0.243495	0.0662784	0.0604544	0.0221366	0.0836759	0.0248737	0.0654623	0.626372	0.198475	0.997047	0.999244	1.00075	1.00296	4.258175
60	-482.4956	-466.7629	-15.73265	85942.25	9.550741	0.0467797	0.0766118	0.171872	0.0423857	0.105577	0.0316947	0.166746	0.017106	0.0326966	0.0954898	0.0560358	0.00358525	0.323035	0.206316	0.0247346	0.0693316	0.0139352	0.0298488	0.0675291	0.0433938	0.0627036	0.099057	0.0750204	0.547941	0.041952	0.0400009	0.0987655	0.0269636	0.0700257	0.0100064	0.208442	0.05432	0.444683	0.0778966	0.130159	0.0133766	0.179181	0.0539071	0.13126	0.082997	0.163	0.995667	0.998889	1.0011	1.00434	4.236363
70	-480.9807	-466.2381	-14.74265	227400.9	7.654616	0.0243154	0.08247	0.0783357	0.154104	0.172076	0.0104198	0.131744	0.0283009	0.0882507	0.0928568	0.0277385	0.00345616	0.100112	0.190302	0.0337757	0.0701641	0.0350112	0.0642455	0.0496363	0.0315424	0.0071121	0.180533	0.0321422	0.711944	0.0278583	0.0159841	0.13885	0.0464902	0.300128	0.0272462	0.0882869	0.0635416	0.444683	0.035203	0.0713831	0.0156812	0.109435	0.0467572	0.0877025	0.0737597	0.0269913	0.997336	0.999318	1.00068	1.00267	4.02057
80	-480.1644	-465.7975	-14.36692	604283.4	10.55576	0.0184976	0.0739321	0.045357	0.177501	0.375507	0.101712	0.101394	0.0134659	0.0362352	0.123761	0.0968738	0.00930286	0.114912	0.18974	0.0141776	0.0447755	0.0260597	0.113959	0.0447848	0.0320005	0.00722446	0.123062	0.015643	0.550756	0.0139961	0.00420466	0.0355207	0.0208523	0.117813	0.0396317	0.149325	0.0304659	0.65056	0.0440427	0.0546399	0.0236425	0.201618	0.0496114	0.101125	0.0471463	0.0383824	0.998365	0.999582	1.00042	1.00164	4.073212
90	-492.5796	-474.5739	-18.00568	949663.8	7.447924	0.00193536	0.0356815	0.125384	0.137913	0.431451	0.208604	0.0149655	0.0202696	0.0499777	0.244767	0.0681915	0.0224176	0.198501	0.0620441	0.0085054	0.0323828	0.120638	0.212314	0.0892653	0.0557603	0.0153282	0.100915	0.0290088	0.604441	0.013325	0.0240047	0.0619712	0.0481868	0.11388	0.0299536	0.130665	0.0260662	0.314	0.114253	0.0399199	0.0560119	0.104729	0.133394	0.181436	0.0745617	0.0681021	0.998696	0.999667	1.00033	1.0013	4.425123
