Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-868.12	-790.4028	-77.71722	517210.9	0.8562115	1.95906	0.0775916	0.860964	3.18646	0.62053	0.123315	1.40568	0.798027	1.3801	2.22771	2.63019	2.05594	0.609144	1.13399	0.685744	4.63104	1.48171	2.22938	0.922937	0.680875	0.380503	0.0776455	1.54901	0.242106	0.0653227	2.54484	2.1716	0.998233	0.999548	1.00045	1.00177	36.73141
10	-756.9608	-683.5401	-73.42073	529398.1	0.7748487	1.73588	0.0189863	0.417403	0.647881	0.303939	0.124608	0.675859	0.410121	0.335426	4.10726	4.43248	0.30518	0.254201	0.32199	0.314109	2.17232	4.72346	0.935505	2.11778	0.463636	0.259152	0.15069	2.32356	0.14696	0.143198	2.05109	1.69244	0.998254	0.999553	1.00045	1.00175	31.58513
20	-694.0016	-630.0164	-63.98518	314176.8	1.177349	2.34193	0.0327965	0.268365	0.191839	0.0617304	0.0691639	0.306946	0.179937	0.179346	2.33427	3.75976	0.182385	0.0359786	0.182693	0.399786	1.9181	2.43257	1.50451	1.67048	0.267852	0.134659	0.0733082	1.32808	0.0647241	0.0497127	1.95138	0.376259	0.997733	0.99942	1.00058	1.00227	22.29855
30	-643.9142	-598.0955	-45.81867	118812.6	2.990753	2.33804	0.0160008	0.0791863	0.261059	0.208316	0.126898	0.0818831	0.0707194	0.289793	0.961965	0.39262	0.212568	0.035485	0.0807327	0.398461	0.210399	1.14493	0.408452	0.713864	0.254696	0.14253	0.0238435	1.1711	0.338614	0.0934384	0.655335	0.287969	0.996315	0.999056	1.00094	1.00369	10.9989
40	-610.4423	-577.8268	-32.61544	126332.4	3.718582	0.790012	0.0138226	0.0606222	0.0951204	0.190768	0.157327	0.0439463	0.0428067	0.354808	0.631401	0.344416	0.0195794	0.0512812	0.249856	0.190064	0.207479	0.804313	0.106161	0.397236	0.180434	0.19827	0.0498678	0.884332	0.0580897	0.0661968	0.41069	0.238995	0.996426	0.999084	1.00091	1.00358	6.837895
50	-597.7065	-570.5317	-27.17482	50582.73	5.552321	0.567771	0.0248433	0.158583	0.0225636	0.17148	0.0734597	0.0580119	0.086289	0.522974	0.961961	0.118932	0.0775535	0.132231	0.101953	0.167309	0.0940134	0.472507	0.234719	0.296439	0.0694925	0.149871	0.0593321	0.445917	0.0846838	0.0635547	0.0689059	0.197669	0.994354	0.998551	1.00144	1.00566	5.483021
60	-604.641	-576.0439	-28.59701	216437.2	4.293922	0.67882	0.0444362	0.147816	0.00499938	0.272534	0.241979	0.0242983	0.189471	0.281088	1.24686	0.0881633	0.123338	0.0604547	0.0692491	0.159094	0.128387	0.520871	0.0934677	0.0666997	0.0159064	0.328214	0.0757965	0.392936	0.0688306	0.15992	0.0996617	0.280328	0.997269	0.999301	1.0007	1.00273	5.863624
70	-600.3474	-575.692	-24.65536	748673.6	5.95118	0.247204	0.0809726	0.303472	0.00862275	0.291962	0.0492496	0.0210139	0.0638511	0.211585	0.787808	0.111002	0.0264251	0.0967609	0.0382308	0.17135	0.0684104	0.638502	0.101347	0.310234	0.015649	0.0944039	0.365561	0.378874	0.0541467	0.076633	0.162654	0.217596	0.998531	0.999624	1.00037	1.00147	4.993521
80	-595.7231	-566.5071	-29.21599	24367.21	5.153856	0.265233	0.162811	0.217148	0.015079	0.26008	0.104779	0.0213169	0.0798438	0.441219	1.34297	0.264043	0.0222242	0.04655	0.106606	0.201495	0.114178	0.618701	0.151213	0.229494	0.0222242	0.160712	0.1116	0.571626	0.0372944	0.0769841	0.139964	0.142921	0.991869	0.997908	1.00207	1.00815	5.928307
90	-602.7206	-570.5863	-32.13425	100225.2	5.117153	0.221049	0.245519	0.100618	0.00639832	0.156038	0.125613	0.0315266	0.0689218	0.192224	2.3215	0.20218	0.0598626	0.100917	0.0853517	0.188305	0.0984011	0.406284	0.678485	0.226317	0.0572777	0.0744795	0.123805	0.323534	0.110272	0.0892899	0.140032	0.0706383	0.995988	0.998972	1.00102	1.00402	6.504842
